Package,Dataset,Topic,Rows,Cols
Epi,occup,A small occupational cohort,13,4
Epi,nickel,A Cohort of Nickel Smelters in South Wales,679,7
Epi,mortDK,Population mortality rates for Denmark in 1-year age-classes.,1820,21
Epi,lungDK,Male lung cancer incidence in Denmark,220,9
Epi,lep,An unmatched case-control study of leprosy incidence,1370,7
Epi,hivDK,hivDK: seroconversion in a cohort of Danish men,297,7
Epi,gmortDK,Population mortality rates for Denmark in 5-years age groups.,418,21
Epi,ewrates,"Rates of lung and nasal cancer mortality, and total mortality.",150,5
Epi,diet,Diet and heart data,337,15
Epi,brv,Bereavement in an elderly cohort,399,11
Epi,blcaIT,Bladder cancer mortality in Italian males,55,4
Epi,births,Births in a London Hospital,500,8
Epi,bdendo11,A 1:1 subset of the endometrial cancer case-control study,126,13
Epi,bdendo,A case-control study of endometrial cancer,315,13
Epi,Y.dk,Population risk time in Denmark,16000,6
Epi,S.typh,Salmonella Typhimurium outbreak 1996 in Denmark.,136,15
Epi,N.dk,Population size in Denmark,8200,4
Epi,M.dk,Mortality in Denmark 1974 ff.,7400,6
Epi,DMrand,The Danish National Diabetes Register.,10000,7
Epi,DMlate,The Danish National Diabetes Register.,10000,7
Epi,DMconv,Conversion to diabetes,1519,6
Epi,B.dk,Births in Denmark by year and month of birth and sex,1308,4
EpiContactTrace,transfers,Movement Example Data,70190,6
esd4all,grm.coef.ealat,Empirical-Statistical Downsacling For All.,144,8
esd4all,grm.coef.africa,Empirical-Statistical Downsacling For All.,144,8
esd4all,grm.coef,Empirical-Statistical Downsacling For All.,144,8
esd4all,gridded.c,Empirical-Statistical Downsacling For All.,50,50
ESPRESSO,sim.sesp.params,Table of paramaters to simulate sensitivity and specificity values,1,5
ESPRESSO,obs.data,"Simulated genotypes, phenotypes and enviromental exposure data",10000,11
ESPRESSO,init.data,"Simulated genotypes, phenotypes and enviromental exposure data",10000,11
ESPRESSO,general.params,Main parameters of the simulations,2,18
ESPRESSO,gen.params,Parameters to simulate genetic data,2,14
ESPRESSO,env.params,Parameters to simulate environmental exposures data,2,19
evir,bmw,Daily Log Returns on BMW Share Price,6146,1
evir,danish,Danish Fire Insurance Claims,2167,1
evir,nidd.annual,The River Nidd Data,35,1
evir,nidd.thresh,The River Nidd Data,154,1
evir,siemens,Daily Log Returns on Siemens Share Price,6146,1
evir,sp.raw,SP Data to June 1993,8415,1
evir,spto87,SP Return Data to October 1987,6985,1
exactLoglinTest,titanic.dat,Titanic Survival Data,32,5
exactLoglinTest,residence.dat,Residence in 1980 by residence in 1985.,16,4
exactLoglinTest,pathologist.dat,Cross-classification of 118 tumor grades by two pathologists,25,3
exactLoglinTest,czech.dat,Czech auto workers data,64,7
exactLoglinTest,alligator.dat,"Data frame of alligator food choice by lake, gender and size.",80,5
exactRankTests,sal,Serum Antigen Level,20,2
exactRankTests,rotarod,Rotating Rats Data,24,2
exactRankTests,ocarcinoma,Ovarian Carcinoma,35,3
exactRankTests,neuropathy,Acute Painful Diabetic Neuropathy,58,2
exactRankTests,lungcancer,Lung Cancer Clinical Trial,14,3
exactRankTests,globulin,Differences in Globulin Fraction in Two Groups,20,2
exactRankTests,glioma,Malignant Glioma Pilot Study,37,7
exactRankTests,ears,Survival of Ventilating Tubes,78,5
exactRankTests,bloodp,Diastolic Blood Pressure,15,2
exactRankTests,ASAT,Toxicological Study on Female Wistar Rats,34,2
ExomeDepth,exons.hg19.X,Positions of exons on build hg19 of the human genome and on chromosome X,9292,4
ExomeDepth,exons.hg19,Positions of exons on build hg19 of the human genome,238054,4
ExomeDepth,ExomeCount,Example dataset for ExomeDepth,26547,5
ExPD2D,pds,Sample Data Frame,19,2
expoRkit,orani,"Australia Economic Model data, 1968-68.",2529,2529
expsmooth,xrates,Monthly exchange rates,77,2
expsmooth,unemp.cci,Unemployment and the CCI,100,3
expsmooth,msales,Monthly product sales,36,2
expsmooth,jewelry,Weekly jewelry sales,124,314
expsmooth,hospital,Monthly patient count,84,767
expsmooth,gasprice,US gasoline prices,191,2
expsmooth,djiclose,Monthly Dow Jones Index: closing,951,2
expsmooth,dji,Monthly Dow Jones Index,207,4
expsmooth,carparts,Monthly sales car parts,51,2674
extRemes,ftcanmax,"Annual Maximum Precipitation: Fort Collins, Colorado",100,2
extRemes,damage,Hurricane Damage Data,144,3
extRemes,Tphap,"Daily Maximum and Minimum Temperature in Phoenix, Arizona.",2666,5
extRemes,SEPTsp,Daily Maximum and Minimum Temperature,51,9
extRemes,Rsum,Hurricane Frequency Dataset.,71,4
extRemes,Potomac,Potomac River Peak Stream Flow Data.,106,2
extRemes,Peak,Salt River Peak Stream Flow,75,6
extRemes,PORTw,Daily Maximum and Minimum Temperature,68,9
extRemes,Ozone4H,Ground-Level Ozone Order Statistics.,513,5
extRemes,HEAT,"Summer Maximum and Minimum Temperature: Phoenix, Arizona",43,3
extRemes,FtCoPrec,"Daily precipitation amounts in Fort Collins, Colorado.",36524,5
extRemes,Flood,United States Total Economic Damage Resulting from Floods,66,5
extRemes,FCwx,"Fort Collins, Colorado Weather Data",36524,8
extRemes,Denversp,Denver July hourly precipitation amount.,31247,4
extRemes,Denmint,Denver Minimum Temperature,18564,5
FAMT,expression,Gene expressions data frame,9893,43
FAMT,covariates,Covariates data frame,43,6
FAMT,annotations,Gene annotations data frame,9893,6
FAwR,ufc,Upper Flat Creek forest cruise tree data,336,5
FAwR,sweetgum,Lenhart's sweetgum (Liquidambar styraciflua L.) tree measurement data.,39,8
FAwR,stage,Stage's Grand fir (Abies grandis (Dougl) Lindl.) tree measurement data,542,11
FAwR,leuschner,Leuschner harvest schedule yield data,48,4
FAwR,herbdata,Herbicide trial seedling data,960,8
FAwR,gutten,von Guttenberg's Norway spruce (Picea abies [L.] Karst) tree measurement data.,1200,9
fda,seabird,Sea Bird Counts,3793,22
fda,sampleData (landmark.reg.expData),Experiment data for landmark registration and alignment,1361,2
fda,refinery,Reflux and tray level in a refinery,194,3
fda,pinchraw,pinch force data,151,20
fda,pinch,pinch force data,151,20
fda,onechild,growth in height of one 10-year-old boy,83,2
fda,melanoma,melanoma 1936-1972,37,2
fda,lipmarks (lip),Lip motion,20,2
fda,lip,Lip motion,51,20
fda,infantGrowth,Tibia Length for One Baby,40,3
fda,handwrit,Cursive handwriting samples,1401,20
fda,gait,Hip and knee angle while walking,20,39
fda,StatSciChinese,Statistical Science in Chinese,601,50
fda,MontrealTemp,Montreal Daily Temperature,34,365
fds,labp,Biscuit dough piece data,4,32
fds,labc,Biscuit dough piece data,4,40
FeaLect,mcl_sll,MCL and SLL lymphoma subtypes,22,237
fExtremes,danishClaims,Time Series Data Sets,2167,2
fExtremes,bmwRet,Time Series Data Sets,6146,2
fields,rat.diet,Experiment studying an appetite supressant in rats.,39,3
fields,lennon,Gray image of John Lennon.,256,256
fields,WorldBankCO2,Carbon emissions and demographic covariables by country for 1999.,75,5
FlexParamCurve,tern.data,Field data on growth of common terns Sterna hirundo,1164,12
FlexParamCurve,posneg.data,Simulated growth of black-browed albatrosses,1300,3
FlexParamCurve,penguin.data,Field data on growth of little penguins Eudyptula minor,2244,11
FlexParamCurve,logist.data,Simulated growth of whiskered terns,1100,3
Flury,wines,Chemical composition of wines,26,16
Flury,wine.sugar,Sugar adulteration in wine production,344,4
Flury,vasoc,Vasoconstriction,39,3
Flury,turtles,Turtle Carapace measurements (Jolicoeur and Mosimann),48,4
Flury,treesf,Tree data,31,3
Flury,swiss.heads,Swiss Heads,200,6
Flury,strider,Skeletal dimensions of water striders,88,6
Flury,steve,Steve's Basketball Data,20,2
Flury,snailsf,Aquatic snails hiding behaviour,27,6
Flury,sibling.heads,Sibling Heads,25,4
Flury,pipits2,Wing length of water pipits,15,2
Flury,pipits,Wing length of Water Pipits,17,2
Flury,midge,Midge Data,15,3
Flury,microtus,Microtus classification (more vole data),288,9
Flury,m.twins,Male Twins,89,7
Flury,lookup,Lookup table,33,1
Flury,irisf,Edgar Anderson's Iris Data,150,5
Flury,ghq,General Health Questionnaire Data,17,4
Flury,flea.beetles,Flea Beetles data,39,5
Flury,f.voles,Female vole data,86,8
Flury,f.twins,Female Twins,79,7
Flury,f.swiss.heads,Female Swiss Heads,59,6
Flury,electrode,Electrode Manufacture,100,6
Flury,dogwood,Flowering dogwood trees,39,3
Flury,dead.beetles,Beetle mortality data,8,3
Flury,cork,Directional Cork deposit data,28,4
Flury,computers,Computer Repair Data,14,2
Flury,challenger,Challenger O Ring Data,23,2
Flury,basketball,Basketball Data,20,5
Flury,apples,Apple rootstock data,48,5
Flury,angels,Angels,10,2
fma,texasgas,Price and consumption of natural gas,20,2
fma,running,Running times and maximal aerobic capacity,14,2
fma,pulpprice,Pulp price and shipments,25,2
fma,petrol,Sales of petroleum and related product,252,4
fma,pcv,GDP,19,2
fma,ozone,Ozone depletion and melanoma rates,11,2
fma,olympic,Men's 400 m final winning times in each Olympic Games,23,2
fma,motel,"Total accommodation at hotel, motel and guest house",186,3
fma,mortal,Mortality,156,2
fma,kkong,King Kong data,21,2
fma,ibm,IBM sales and profit,42,4
fma,housing,Housing data,82,3
fma,econsumption,Electricity consumption and temperature,12,2
fma,dexter,Dexterity test and production ratings,20,2
fma,cement,Cement composition and heat data,10,4
fma,capital,Quarterly capital expenditure and appropriations,88,2
fma,boston,Monthly dollar volume of sales,35,2
fma,books,Sales of paperback and hardcover books,30,2
fma,bank,Mutual savings bank deposits,60,3
fma,auto,Attributes of some US and Japanese automobiles,45,4
fma,advsales,Sales volume and advertising expenditure,36,2
fma,advert,Sales and advertising expenditure,24,2
forams,NB,ABC Method Dataset,316,2
forams,LF,FORAM Index and SHE dataset,29,23
forams,Factors,FORAM Index Factors,29,1
forward,wool,Wool data,27,4
forward,vaso,Vaso data,39,3
forward,stackloss,Stackloss data,21,4
forward,salinity,Salinity data,28,4
forward,rainfall,Rainfall data,34,3
forward,poison,Poison data,48,3
forward,ozone,Ozone data,80,9
forward,mussels,Mussels data,82,5
forward,molar,Molar data,16,2
forward,mice,Mice data,14,4
forward,leafpine,Pine data,70,3
forward,lakes,Lakes data,29,3
forward,kinetics,Kinetics data,19,6
forward,hawkins,Hawkins' data,128,9
forward,forbes,Forbes data,17,2
forward,dialectric,Dialectric data,128,3
forward,derailme,British Train Accidents.,67,5
forward,chapman,Chapman data,200,7
forward,cellular,Cellular differentiation data,16,3
forward,carr,n-Pentane data,24,4
forward,carinsuk,Car insurance data,128,5
forward,calcium,Calcium data,27,2
forward,bliss,Bliss data,8,4
forward,ar,ar data,60,4
frailtypack,readmission,Rehospitalization colorectal cancer,861,11
frailtypack,diabetes,Interval-censored data for time from onset of diabetes to the onset of diabetic nephronpathy,731,3
frailtypack,dataNested,Simulated data with two levels of grouping,400,7
frailtypack,dataJointClus,a simulated data for JointCluster.,24413,7
frailtypack,dataJoint,Simulated data with recurrent events and informative terminal event,1078,7
frailtypack,dataAdditive,Simulated data as a gathering of clinical trials databases,800,6
FRB,schooldata,School Data,70,8
FRB,hemophilia,Hemophilia Data,75,3
FRB,delivery,Delivery Time Data,25,3
FRB,ForgedBankNotes,Swiss (forged) bank notes data,100,6
freqMAP,genotypebyage,Simulated Genotype Data by Age for 4000 Probands and 4000 Controls,8000,5
frt,tomatoes,Tomato yield example,11,4
frt,shoes,Boys' shoes data,10,6
FunNet,yeast.dna,Expression Profiling of the Yeast after Irradiation,5526,43
FunNet,yeast.cycle,Yeast Cell Cycle Expression Profiling,5154,60
fwi.fbp,test_fwi,Fire Weather Index Sample Input Data Set,49,10
fwi.fbp,test_fbp,Fire Behaviour Prediction Sample Data Set,20,24
GA4Stratification,normal100_10,A randomly generated data,1000,1
GA4Stratification,iso2004,Net sales data of 487 Turkish manufacturing firms,487,1
GA4Stratification,chi5,A randomly generated data,1000,1
GA4Stratification,chi15,A randomly generated data,1000,1
GA4Stratification,chi10,A randomly generated data,1000,1
GA4Stratification,chi1,A randomly generated data,1000,1
GA4Stratification,beta10_3,A randomly generated data,1000,1
GA4Stratification,P75,Population data of Swedish municipalities,284,1
GAD,snails,Dataset - Growth rates of snails on large boulders on different rock shores.,240,6
GAD,rohlf95,Dataset - Mosquitos' wing data colleted by Rohlf and cited in Sokal & Rohlf (1995),24,4
GAD,rats,Dataset - Glycogen content of rat livers.,36,4
gamclass,loti,Global temperature anomalies,131,19
gamclass,german,German credit scoring data,1000,21
gamclass,fars2008,"US fatal road accident data, 2007 and 2008",64881,24
gamclass,fars2007,"US fatal road accident data, 2007 and 2008",72548,24
gamclass,cvalues,Historical speed of light measurements,9,3
gamclass,FARSmiss,Summary information on records omitted from the 'FARS' dataset,51,7
gamclass,FARS,"US fatal road accident data for automobiles, 1998 to 2010",151158,17
gamclass,airAccs,Aircraft Crash data,5666,7
GANPAdata,gNET,gNET: A comprehensive gene functional association network,16979,NA
gap,PD,"A study of Parkinson's disease and APOE, LRRK2, SNCA makers",825,22
gap,aldh2,ALDH2 markers and Alcoholism,263,18
gap,apoeapoc,APOE/APOC1 markers and Alzheimer's,353,8
gap,cf,Cystic fibrosis data,186,24
gap,crohn,Crohn's disease data,387,212
gap,fa,Friedreich Ataxia data,127,13
gap,fsnps,A case-control data involving four SNPs with missing genotype,432,10
gap,hla,The HLA data,271,8
gap,hr1420,An example data for Manhattan plot with annotation,147849,5
gap,l51,An example pedigree data,51,6
gap,lukas,An example pedigree,85,4
gap,mao,A study of Parkinson's disease and MAO gene,340,19
gap,meyer,A pedigree data on 282 animals deriving from two generations,306,5
gap,mfblong,Example data for ACEnucfam,3000,10
gap,mhtdata,An example data for Manhattan plot,159312,8
gap,nep499,A study of Alzheimer's disease with eight SNPs and APOE,499,23
geepack,dietox,Growth curves of pigs in a 3x3 factorial experiment,861,7
geepack,koch,Ordinal Data from Koch,288,4
geepack,ohio,Ohio Children Wheeze Status,2148,4
geepack,respdis,Clustered Ordinal Respiratory Disorder,111,5
geepack,respiratory,Data from a clinical trial comparing two treatments for a respiratory illness,444,8
geepack,seizure,Epiliptic Seizures,59,7
geepack,sitka89,Growth of Sitka Spruce Trees,632,4
geepack,spruce,Log-size of 79 Sitka spruce trees,1027,6
GeneReg,wt.expr.data,Time course cell cycle dataset of wild-type cells,1275,30
GeneReg,mut.expr.data,Time course cell cycle dataset of cyclin-mutant cells,1275,30
geomapdata,ETOPO5,Etopo5 topographic data,4320,2160
geomorph,plethland,Landmark data from dataset plethodon,40,24
geomorph,Specimen4Raw,Raw 3D scan data from scallop shell,10000,3
GeoXp,mp.school.ps,Midi-pyrennees school agreggated to the pseudo-canton levels,155,7
GeoXp,mp.school,Midi-pyrennees school,226,13
GeoXp,immob,Some price indices of real estate from biggest cities in France,94,10
ggm,surdata,A simulated data set,600,4
ggm,stress,Stress,4,4
ggm,marks,Mathematics marks,88,5
ggm,glucose,Glucose control,68,8
ggm,anger,Anger data,4,4
ggplot2,luv_colours,'colors()' in Luv space,657,4
glmc,flo,Internal glmc Objects,16,16
gMCP,simvastatin,Simvastatin and Colesevelam Treatment in Patients with Primary Hypercholesterolemia,4,5
gMCP,hydroquinone,Hydroquinone Mutagenicity Assay,31,2
gmt,demo.xy,GMT Example Data,3,3
gmt,demo.text,GMT Example Data,6,7
gmt,demo.bar,GMT Example Data,3,4
gmvalid,wynder,"Alcohol, Smoking and Oral Cancer",443,3
gmvalid,wam,Women and Mathematics,1190,6
gmvalid,idd35,Type 1 Diabetes susceptibility loci Idd3 and Idd5,313,3
gmvalid,dp,Death penalty example of Simpson's paradox,326,3
googleVis,Stock,Stock: googleVis example data set,12,5
googleVis,Regions,Regions: googleVis example data set,11,4
googleVis,Population,Population: googleVis example data set,195,7
googleVis,OpenClose,OpenClose: googleVis example data set,5,5
googleVis,Fruits,Fruits: googleVis example data set,9,7
googleVis,Exports,Exports: googleVis example data set,10,3
googleVis,CityPopularity,CityPopularity: googleVis example data set,6,2
googleVis,Andrew,Hurricane Andrew: googleVis example data set,47,8
GrapheR,Swallows,Swallows dataset,120,6
gRbase,wine,Chemical composition of wine,178,14
gRbase,reinis,Risk factors for coronary heart disease.,2,2
gRbase,rats,Weightloss of rats,24,4
gRbase,milkcomp1,Milk composition data,55,5
gRbase,milkcomp,Milk composition data,214,7
gRbase,mildew,Mildew fungus,2,2
gRbase,mathmark,Mathematics marks for students,88,5
gRbase,math,Mathematics marks for students,88,5
gRbase,lizardRAW,Lizard behaviour,409,3
gRbase,lizardAGG,Lizard behaviour,8,4
gRbase,lizard,Lizard behaviour,2,2
gRbase,dumping,Gastric Dumping,3,4
gRbase,dietox,Growth curves of pigs in a 3x3 factorial experiment,861,7
gRbase,chestSim50000,Simulated data from the Chest Clinic example,50000,8
gRbase,chestSim500,Simulated data from the Chest Clinic example,500,8
gRbase,chestSim100000,Simulated data from the Chest Clinic example,100000,8
gRbase,chestSim10000,Simulated data from the Chest Clinic example,10000,8
gRbase,chestSim1000,Simulated data from the Chest Clinic example,1000,8
gRbase,carcassall,Lean meat contents of 344 pig carcasses,344,17
gRbase,carcass,Lean meat contents of 344 pig carcasses,344,7
gRbase,cad2,Coronary artery disease data,67,14
gRbase,cad1,Coronary artery disease data,236,14
gRbase,breastcancer,Gene expression signatures for p53 mutation status in 250 breast cancer samples,250,1001
gRbase,ashtrees,Crown dieback in ash trees,454,9
gRbase,Nutrimouse,The Nutrimouse Dataset,40,143
gRbase,BodyFat,Body Fat Data,252,15
grpreg,birthwt.grpreg,Risk Factors Associated with Low Infant Birth Weight,189,18
GRRGI,sat2,anovasat Output From Study 2,17,3
GRRGI,sat1,anovasat Output From Study 1,17,3
GRRGI,HWstudy2,Gauge R and R: Study 2,40,3
GRRGI,HWstudy1,Gauge R and R: Study 1,120,3
GRRGI,GI2,MLGI Output From Study 2,17,4
GRRGI,GI1,MLGI Output From Study 1,17,4
gvlma,CarMileageData,Car Mileage Data Recorded at Each Gasoline Fill-Up,205,7
gwerAM,maizeW,Marker matrix required for \gwerAM()\,277,553
gwerAM,maizeQ,Population structure matrix required for \gwerAM()\,277,5
gwerAM,maizeA,Numerator relationship matrix required for \gwerAM()\,277,277
haplo.ccs,geno (renin),Example Dataset for 'haplo.ccs',1320,12
hapsim,ACEdata,ACE data set,22,52
hbmem,sd6,As of yet unpublished dataset,23984,6
hbmem,prm09,PRM09 Data,46495,5
HGNChelper,hgnc.table,All current and withdrawn HGNC symbols.,73712,2
HIBAG,hla.type.table,Four-digit HLA types of a study simulated from HapMap CEU,60,13
hier.part,urbanwq,Example data for hier.part,15,11
hier.part,chevan,Example data for hier.part,16,2
hier.part,amphipod,Example data for hier.part,58,5
HistData,ZeaMays,Darwin's Heights of Cross- and Self-fertilized Zea May Pairs,15,5
HistData,YeastD.mat,Student's (1906) Yeast Cell Counts,20,20
HistData,Yeast,Student's (1906) Yeast Cell Counts,36,3
HistData,Wheat,Playfair's data on wages and the price of wheat,26,4
HistData,Snow.streets,John Snow's map and data on the 1854 London Cholera outbreak,1241,4
HistData,Snow.pumps,John Snow's map and data on the 1854 London Cholera outbreak,13,4
HistData,Snow.polygons,John Snow's map and data on the 1854 London Cholera outbreak,54,3
HistData,Snow.deaths,John Snow's map and data on the 1854 London Cholera outbreak,578,3
HistData,Quarrels,Statistics of Deadly Quarrels,779,84
HistData,Pyx,Trial of the Pyx,72,4
HistData,Prostitutes,Parent-Duchatelet's time-series data on the number of prostitutes in Paris,516,5
HistData,PolioTrials,Polio Field Trials Data,8,6
HistData,PearsonLee,Pearson and Lee's data on the heights of parents and children classified by gender,746,6
HistData,OldMaps,Latitudes and Longitudes of 39 Points in 11 Old Maps,468,6
HistData,Nightingale,Florence Nightingale's data on deaths from various causes in the Crimean War,24,10
HistData,Minard.troops,Data from Minard's famous graphic map of Napoleon's march on Moscow,51,5
HistData,Minard.temp,Data from Minard's famous graphic map of Napoleon's march on Moscow,9,4
HistData,Minard.cities,Data from Minard's famous graphic map of Napoleon's march on Moscow,20,3
HistData,MichelsonSets,Michelson's Determinations of the Velocity of Light,20,5
HistData,Michelson,Michelson's Determinations of the Velocity of Light,100,1
HistData,MacdonellDF,"Macdonell's Data on Height and Finger Length of Criminals, used by Gosset (1908)",3000,2
HistData,Macdonell,"Macdonell's Data on Height and Finger Length of Criminals, used by Gosset (1908)",924,3
HistData,Langren1644,van Langren's data on longitude distance between Toledo and Rome,12,9
HistData,Langren.all,van Langren's data on longitude distance between Toledo and Rome,61,4
HistData,Jevons,W. Stanley Jevons' data on numerical discrimination,50,4
HistData,Guerry,"Data from A.-M. Guerry, \Essay on the Moral Statistics of France\",86,23
HistData,GaltonFamilies,"Galton's data on the heights of parents and their children, by family",934,8
HistData,Galton,Galton's data on the heights of parents and their children,928,2
HistData,Fingerprints,Waite's data on Patterns in Fingerprints,36,3
HistData,DrinksWages,Elderton and Pearson's (1910) data on drinking and wages,70,6
HistData,Dactyl,Edgeworth's counts of dactyls in Virgil's Aeneid,60,3
HistData,CushnyPebblesN,Cushny-Pebbles Data: Soporific Effects of Scopolamine Derivatives,11,4
HistData,CushnyPebbles,Cushny-Pebbles Data: Soporific Effects of Scopolamine Derivatives,11,4
HistData,ChestSizes,Chest measurements of 5738 Scottish Militiamen,16,2
HistData,Cavendish,Cavendish's Determinations of the Density of the Earth,29,3
HistData,Bowley,"Bowley's data on values of British and Irish trade, 1855-1899",45,2
HistData,Arbuthnot,Arbuthnot's data on male and female birth ratios in London from 1629-1710.,82,7
HistData,Armada,La Felicisima Armada,10,11
HistData,Cholera,"William Farr's Data on Cholera in London, 1849",38,15
HistData,CushnyPeebles,Cushny-Peebles Data: Soporific Effects of Scopolamine Derivatives,11,4
HistData,CushnyPeeblesN,Cushny-Peebles Data: Soporific Effects of Scopolamine Derivatives,11,4
HistData,Galton,Galton's data on the heights of parents and their children,898,6
HistData,GaltonFamilies,"Galton's data on the heights of parents and their children, by child",934,8
HistData,Guerry,"Data from A.-M. Guerry, ""Essay on the Moral Statistics of France""",86,23
HistData,HalleyLifeTable,Halley's Life Table,84,4
HistData,Snow.dates,John Snow's Map and Data on the 1854 London Cholera Outbreak,44,3
HistData,Snow.deaths2,John Snow's Map and Data on the 1854 London Cholera Outbreak,578,3
HistData,Wheat,Playfair's Data on Wages and the Price of Wheat,53,3
HistData,Wheat.monarchs,Playfair's Data on Wages and the Price of Wheat,12,4
homtest,annualflows,Data-sample,1222,3
Hotelling,container.df,Container data,20,10
Hotelling,bottle.df,Bottle data,120,6
HPbayes,q0 (HPprior),"prior, age groups, lx and dx values",8000,8
HSAUR,BCG,BCG Vaccine Data,13,7
HSAUR,BtheB,Beat the Blues Data,100,8
HSAUR,CYGOB1,CYG OB1 Star Cluster Data,47,2
HSAUR,Forbes2000,The Forbes 2000 Ranking of the World's Biggest Companies (Year 2004),2000,8
HSAUR,GHQ,General Health Questionnaire,22,4
HSAUR,Lanza,Prevention of Gastointestinal Damages,198,3
HSAUR,agefat,Total Body Composision Data,25,3
HSAUR,aspirin,Aspirin Data,7,4
HSAUR,birthdeathrates,Birth and Death Rates Data,69,2
HSAUR,bladdercancer,Bladder Cancer Data,31,3
HSAUR,clouds,Cloud Seeding Data,24,7
HSAUR,epilepsy,Epilepsy Data,236,6
HSAUR,foster,Foster Feeding Experiment,61,3
HSAUR,heptathlon,Olympic Heptathlon Seoul 1988,25,8
HSAUR,mastectomy,Survival Times after Mastectomy of Breast Cancer Patients,44,3
HSAUR,meteo,Meteorological Measurements for 11 Years,11,6
HSAUR,orallesions,Oral Lesions in Rural India,8,3
HSAUR,phosphate,Phosphate Level Data,33,9
HSAUR,pistonrings,Piston Rings Failures,4,3
HSAUR,planets,Exoplanets Data,101,3
HSAUR,plasma,Blood Screening Data,32,3
HSAUR,polyps,Familial Andenomatous Polyposis,20,3
HSAUR,polyps3,Familial Andenomatous Polyposis,22,5
HSAUR,pottery,Romano-British Pottery Data,45,9
HSAUR,rearrests,Rearrests of Juvenile Felons,2,2
HSAUR,respiratory,Respiratory Illness Data,444,8
HSAUR,roomwidth,Students Estimates of Lecture Room Width,113,2
HSAUR,schizophrenia,Age of Onset of Schizophrenia Data,251,2
HSAUR,schizophrenia2,Schizophrenia Data,220,4
HSAUR,schooldays,Days not Spent at School,154,5
HSAUR,skulls,Egyptian Skulls,150,5
HSAUR,smoking,Nicotine Gum and Smoking Cessation,26,4
HSAUR,students,Student Risk Taking,35,3
HSAUR,suicides,Crowd Baiting Behaviour and Suicides,2,2
HSAUR,toothpaste,Toothpaste Data,9,7
HSAUR,voting,House of Representatives Voting Data,25,4
HSAUR,water,Mortality and Water Hardness,61,4
HSAUR,watervoles,Water Voles Data,14,14
HSAUR,waves,Electricity from Wave Power at Sea,18,2
HSAUR,weightgain,Gain in Weight of Rats,40,3
HSAUR,womensrole,Womens Role in Society,42,4
hwde,mendelABC,"Mendel's F2 trifactorial data for seed shape (A), cotyledon color (B) and seed coat color (C)",27,4
hwde,IndianIrish,"Observed genotype frequencies at MN and S loci, for 2 populations",18,4
hwde,mendelABC,"Mendel's F2 trifactorial data for seed shape (A: round or wrinkled), cotyledon color (B: albumen yellow or green), and seed coat color (C: grey-brown or white)",27,4
hydroTSM,EbroPPtsMonthly,Ebro Monthly Precipitation Time Series,120,332
hydroTSM,EbroPPgis,Spatial location of raingauges on the Ebro River basin,349,7
hydroTSM,EbroDEM1000m,Digital Elevation Model (DEM) of the Ebro River basin (Spain),168707,1
hydroTSM,EbroCatchmentsCHE,Subcatchments of the Ebro River basin (Spain),57,4
ibr,ozone,"Los Angeles ozone pollution data, 1976.",330,9
ICE,motor.IC,Motorcycle Data with artificial interval-censored responses,133,4
ICE,ICHemophiliac,Hemophiliac Data Set,96,2
ICE,ICGG,Gentleman and Geyer's Data,6,2
IDPmisc,MS,Spectrum Measured by a SELDI TOF Mass Spectrometer,45213,2
idr,simu.idr,Simulated data,1000,3
idr,salmon,Salmon data,28,3
iFad,sigma2,Covariance matrix of the noise term for the drugs,30,30
iFad,sigma1,Covariance matrix of the noise term for the genes,30,30
iFad,matrixZ2,Binary indictor matrix for matrixW2,30,10
iFad,matrixZ1,The binary indicator matrix for matrixW1,30,10
iFad,matrixY2,The drug sensitivity matrix,30,15
iFad,matrixY1,The gene expression dataset,30,15
iFad,matrixX_chain,The updated matrixX in the Gibbs sampling process,5,150
iFad,matrixX,The factor activity matrix,10,15
iFad,matrixW2,The factor loading matrix representing the drug-pathway association,30,10
iFad,matrixW1,The factor loading matrix representing the gene-pathway association,30,10
iFad,matrixPi2,The bernoulli probability matrix for matrixZ2,30,10
iFad,matrixPi1,The bernoulli probability matrix for matrixZ1,30,10
iFad,matrixL2,The matrix representing prior belief for matrixZ2,30,10
iFad,matrixL1,The matrix representing prior belief for matrixZ1,30,10
iFad,label_chain,Updated factor label configuration during the Gibbs sampling,5,10
iFad,Y2_mean,The mean value used for the simulation of matrixY2,30,15
iFad,Y1_mean,The mean value used for the simulation of matrixY1,30,15
iid.test,turuhansk.t2m,Data sets.,123,18
iid.test,thiruvanantha.t2m,Data sets.,167,18
iid.test,thessaloniki.t2m,Data sets.,112,18
iid.test,seychelles.t2m,Data sets.,110,18
iid.test,sao.paulo.t2m,Data sets.,117,18
iid.test,saentis.t2m,Data sets.,121,18
iid.test,portland.t2m,Data sets.,131,18
iid.test,nassau.t2m,Data sets.,149,18
iid.test,moskva.t2m,Data sets.,225,18
iid.test,lisboa.t2m,Data sets.,150,18
iid.test,ishigakijima.t2m,Data sets.,107,18
iid.test,honululu.t2m,Data sets.,121,18
iid.test,giss,Data sets.,42,8
iid.test,funchal.t2m,Data sets.,140,18
iid.test,concord.t2m,Data sets.,133,18
iid.test,cet,Data sets.,345,14
iid.test,buenos.aires.t2m,Data sets.,148,18
iid.test,bismarck.t2m,Data sets.,129,18
iid.test,aberdeen.t2m,Data sets.,133,18
ImpactIV,impact,The data for IMPACT program.,1783,12
